epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,4413.73,1.06157,0.62808,1.02995,0.81417,0.84547,0.85459,0.47839,1.58408,0.83797,1.28603,0.0057628,0.0057628,0.0057628
109,4454.47,1.0602,0.62125,1.02219,0.8361,0.85318,0.85093,0.48632,1.57833,0.83367,1.29439,0.0057232,0.0057232,0.0057232
110,4495.18,1.05495,0.61001,1.01128,0.88792,0.79665,0.8508,0.48503,1.55151,0.79582,1.28345,0.0056836,0.0056836,0.0056836
111,4535.9,1.04163,0.62166,1.02413,0.823,0.82937,0.83691,0.4679,1.57088,0.82694,1.29475,0.005644,0.005644,0.005644
112,4576.66,1.04417,0.62423,1.01885,0.85237,0.82824,0.8444,0.47657,1.60238,0.80733,1.30749,0.0056044,0.0056044,0.0056044
113,4617.47,1.04149,0.60895,1.02511,0.88439,0.7844,0.84806,0.48147,1.59664,0.83061,1.2983,0.0055648,0.0055648,0.0055648
114,4658.12,1.05285,0.61995,1.01438,0.85647,0.85284,0.86829,0.48748,1.56893,0.84925,1.2812,0.0055252,0.0055252,0.0055252
115,4698.73,1.04325,0.62063,1.018,0.83323,0.85161,0.85668,0.48268,1.54841,0.80033,1.25921,0.0054856,0.0054856,0.0054856
116,4739.35,1.02319,0.59497,1.00548,0.83818,0.83556,0.84673,0.48748,1.56189,0.80363,1.26677,0.005446,0.005446,0.005446
117,4780.03,1.02642,0.60647,1.0135,0.82662,0.8385,0.83774,0.47363,1.61643,0.87641,1.30426,0.0054064,0.0054064,0.0054064
118,4820.64,1.00791,0.5932,0.99586,0.82736,0.841,0.85119,0.47888,1.57754,0.86509,1.28796,0.0053668,0.0053668,0.0053668
119,4861.28,1.00716,0.60075,1.00917,0.85415,0.83343,0.84037,0.49119,1.56073,0.85757,1.28129,0.0053272,0.0053272,0.0053272
120,4902.04,1.02119,0.58091,1.00307,0.87403,0.84065,0.84254,0.47963,1.57406,0.82255,1.2958,0.0052876,0.0052876,0.0052876
121,4942.79,1.00168,0.58484,0.9955,0.87764,0.86996,0.86732,0.49081,1.57297,0.83355,1.30102,0.005248,0.005248,0.005248
122,4983.67,0.99494,0.57866,0.99418,0.85409,0.8275,0.85191,0.47879,1.5546,0.88678,1.28243,0.0052084,0.0052084,0.0052084
123,5024.3,0.97392,0.57965,0.98594,0.86961,0.84042,0.8469,0.48504,1.56246,0.82719,1.29296,0.0051688,0.0051688,0.0051688
124,5064.88,1.0076,0.58331,1.00308,0.85636,0.83391,0.85713,0.47126,1.60203,0.83611,1.31184,0.0051292,0.0051292,0.0051292
125,5105.77,0.984,0.57834,0.98526,0.89058,0.84524,0.86936,0.47736,1.58501,0.80098,1.29694,0.0050896,0.0050896,0.0050896
126,5146.61,0.98658,0.57389,0.99417,0.88506,0.83725,0.84855,0.48306,1.56276,0.84827,1.28118,0.00505,0.00505,0.00505
127,5187.21,0.9654,0.56251,0.98529,0.85635,0.81612,0.84978,0.49191,1.54848,0.83403,1.28762,0.0050104,0.0050104,0.0050104
128,5227.9,0.99029,0.58973,0.99295,0.81857,0.84764,0.85409,0.49508,1.5547,0.83584,1.29555,0.0049708,0.0049708,0.0049708
129,5268.58,0.9841,0.58789,0.99366,0.84931,0.82843,0.83411,0.48005,1.56198,0.84408,1.29462,0.0049312,0.0049312,0.0049312
130,5309.2,0.97819,0.57331,0.98084,0.82951,0.82847,0.82306,0.477,1.56374,0.83897,1.28893,0.0048916,0.0048916,0.0048916
131,5349.85,0.963,0.56429,0.98021,0.84879,0.81457,0.83851,0.47983,1.56326,0.83247,1.30418,0.004852,0.004852,0.004852
132,5390.59,0.95238,0.55778,0.98786,0.86442,0.82112,0.83848,0.48142,1.54971,0.84317,1.30205,0.0048124,0.0048124,0.0048124
133,5431.3,0.95887,0.56023,0.97629,0.83932,0.81917,0.82851,0.47912,1.55354,0.85238,1.30149,0.0047728,0.0047728,0.0047728
134,5472.01,0.95206,0.54758,0.98369,0.85831,0.82713,0.84951,0.47534,1.58502,0.87579,1.31871,0.0047332,0.0047332,0.0047332
135,5512.73,0.94957,0.55198,0.97318,0.8708,0.82397,0.85219,0.48802,1.55384,0.82385,1.29115,0.0046936,0.0046936,0.0046936
136,5553.53,0.95668,0.55594,0.97316,0.87032,0.80566,0.84592,0.48171,1.54246,0.82392,1.27599,0.004654,0.004654,0.004654
137,5594.22,0.94626,0.54566,0.97313,0.85036,0.82258,0.84429,0.48777,1.528,0.79989,1.27369,0.0046144,0.0046144,0.0046144
138,5634.82,0.94529,0.53945,0.96692,0.85616,0.81466,0.84281,0.47675,1.5401,0.82403,1.28826,0.0045748,0.0045748,0.0045748
139,5675.47,0.93639,0.54165,0.97646,0.85914,0.83554,0.83908,0.48156,1.56567,0.83037,1.29704,0.0045352,0.0045352,0.0045352
140,5716.33,0.93741,0.54809,0.97425,0.87553,0.8362,0.83984,0.47866,1.57356,0.83589,1.30053,0.0044956,0.0044956,0.0044956
